iter	Passed	Remaining
1311	73211	10490
1312	73227	10429
1313	73242	10367
1314	73256	10306
1315	73287	10246
1316	73303	10185
1317	73320	10124
1318	73335	10063
1319	73351	10002
1320	73367	9941
1321	73382	9880
1322	73400	9820
1323	73418	9759
1324	73433	9698
1325	73449	9638
1326	73464	9577
1327	73481	9517
1328	73497	9456
1329	73513	9396
1330	73533	9336
1331	73550	9276
1332	73570	9216
1333	73584	9156
1334	73601	9096
1335	73618	9037
1336	73635	8977
1337	73652	8917
1338	73668	8857
1339	73686	8798
1340	73702	8738
1341	73718	8679
1342	73734	8619
1343	73750	8560
1344	73767	8501
1345	73782	8441
1346	73797	8382
1347	73811	8322
1348	73828	8263
1349	73876	8208
1350	73918	8152
1351	73967	8097
1352	73995	8039
1353	74056	7985
1354	74120	7931
1355	74162	7875
1356	74205	7819
1357	74224	7761
1358	74240	7702
1359	74262	7644
1360	74304	7588
1361	74324	7530
1362	74342	7472
1363	74365	7414
1364	74380	7356
1365	74397	7298
1366	74415	7240
1367	74434	7182
1368	74452	7124
1369	74470	7066
1370	74489	7008
1371	74507	6951
1372	74528	6893
1373	74544	6835
1374	74561	6778
1375	74578	6720
1376	74593	6663
1377	74609	6605
1378	74626	6548
1379	74640	6490
1380	74656	6433
1381	74674	6375
1382	74689	6318
1383	74704	6261
1384	74721	6204
1385	74735	6147
1386	74752	6090
1387	74769	6033
1388	74786	5976
1389	74804	5919
1390	74821	5863
1391	74835	5806
1392	74852	5749
1393	74867	5692
1394	74885	5636
1395	74901	5580
1396	74918	5523
1397	74934	5467
1398	74954	5411
1399	74969	5354
1400	74981	5298
1401	74995	5242
1402	75009	5185
1403	75026	5129
1404	75040	5073
1405	75053	5017
1406	75069	4961
1407	75082	4905
1408	75096	4850
1409	75111	4794
1410	75123	4738
1411	75137	4682
1412	75151	4627
1413	75165	4571
1414	75178	4516
1415	75190	4460
1416	75208	4405
1417	75229	4350
1418	75247	4295
1419	75267	4240
1420	75291	4185
1421	75311	4131
1422	75329	4076
1423	75350	4021
1424	75369	3966
1425	75386	3912
1426	75403	3857
1427	75421	3802
1428	75438	3748
1429	75454	3693
1430	75471	3639
1431	75486	3584
1432	75502	3530
1433	75518	3475
1434	75535	3421
1435	75551	3367
1436	75567	3312
1437	75583	3258
1438	75601	3204
1439	75616	3150
1440	75630	3096
1441	75646	3042
1442	75661	2988
1443	75676	2934
1444	75693	2881
1445	75710	2827
1446	75726	2773
1447	75739	2719
1448	75755	2666
1449	75770	2612
1450	75786	2559
1451	75801	2505
1452	75816	2452
1453	75834	2399
1454	75847	2345
1455	75866	2292
1456	75888	2239
1457	75911	2186
1458	75947	2134
1459	75974	2081
1460	76005	2028
1461	76031	1976
1462	76062	1923
1463	76089	1871
1464	76111	1818
1465	76139	1765
1466	76171	1713
1467	76197	1660
1468	76219	1608
1469	76237	1555
1470	76253	1503
1471	76269	1450
1472	76284	1398
1473	76301	1345
1474	76316	1293
1475	76332	1241
1476	76352	1188
1477	76373	1136
1478	76391	1084
1479	76410	1032
1480	76426	980
1481	76438	928
1482	76451	876
1483	76462	824
1484	76474	772
1485	76487	720
1486	76500	668
1487	76511	617
1488	76521	565
1489	76530	513
1490	76541	462
1491	76550	410
1492	76561	358
1493	76571	307
